Trial,Container,Treatment,Hours,Consumed,,,,,,,
6,17,0,0,0,,,,,,,
6,17,0,1,1,,,,,,,
6,17,0,2,1,,,,,,,
6,17,0,3,1,,,,,,,
6,17,0,4,1,,,,,,,
6,17,0,24,3,,,,,,,
6,1,0,0,0,,,,,,,
6,1,0,1,1,,,,,,,
6,1,0,2,1,,,,,,,
6,1,0,3,1,,,,,,,
6,1,0,4,1,,,,,,,
6,1,0,24,1,,,,,,,
6,26,1,0,0,,,,,,,
6,26,1,1,0,,,,,,,
6,26,1,2,0,,,,,,,
6,26,1,3,0,,,,,,,
6,26,1,4,1,,,,,,,
6,26,1,24,1,,,,,,,
6,13,1,0,1,,,,,,,
6,13,1,1,2,,,,,,,
6,13,1,2,2,,,,,,,
6,13,1,3,2,,,,,,,
6,13,1,4,2,,,,,,,
6,13,1,24,3,,,,,,,
7,47,1,0,0,,,,,,,
7,47,1,1,0,,,,,,,
7,47,1,2,0,,,,,,,
7,47,1,3,0,,,,,,,
7,47,1,4,0,,,,,,,
7,47,1,24,0,,,,,,,
7,21,0,0,1,,,,,,,
7,21,0,1,1,,,,,,,
7,21,0,2,1,,,,,,,
7,21,0,3,1,,,,,,,
7,21,0,4,1,,,,,,,
7,21,0,24,1,,,,,,,
7,16,1,0,0,,,,,,,
7,16,1,1,1,,,,,,,
7,16,1,2,2,,,,,,,
7,16,1,3,2,,,,,,,
7,16,1,4,2,,,,,,,
7,16,1,24,3,,,,,,,
7,20,0,0,0,,,,,,,
7,20,0,1,0,,,,,,,
7,20,0,2,1,,,,,,,
7,20,0,3,1,,,,,,,
7,20,0,4,1,,,,,,,
7,20,0,24,3,,,,,,,
7,44,0,0,0,,,,,,,
7,44,0,1,0,,,,,,,
7,44,0,2,0,,,,,,,
7,44,0,3,0,,,,,,,
7,44,0,4,0,,,,,,,
7,44,0,24,0,,,,,,,
7,15,1,0,0,,,,,,,
7,15,1,1,2,,,,,,,
7,15,1,2,2,,,,,,,
7,15,1,3,2,,,,,,,
7,15,1,4,2,,,,,,,
7,15,1,24,3,,,,,,,
8,45,0,0,0,,,,,,,
8,45,0,1,0,,,,,,,
8,45,0,2,0,,,,,,,
8,45,0,3,0,,,,,,,
8,45,0,4,0,,,,,,,
8,45,0,24,0,,,,,,,
8,48,0,0,0,,,,,,,
8,48,0,1,1,,,,,,,
8,48,0,2,1,,,,,,,
8,48,0,3,2,,,,,,,
8,48,0,4,2,,,,,,,
8,48,0,24,3,,,,,,,
8,49,1,0,0,,,,,,,
8,49,1,1,0,,,,,,,
8,49,1,2,0,,,,,,,
8,49,1,3,0,,,,,,,
8,49,1,4,0,,,,,,,
8,49,1,24,0,,,,,,,
8,34,0,0,0,,,,,,,
8,34,0,1,1,,,,,,,
8,34,0,2,1,,,,,,,
